system:index,CLASS_2000,CLASS_2010,CLASS_2012,CLASS_2014,CLASS_2016,CLASS_2018,CLASS_2020,LAT,LON,PESO_AMOS,bacia,classification_2000,classification_2010,classification_2012,classification_2014,classification_2016,classification_2018,classification_2020,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000278d_0,15,15,15,15,15,15,15,-40.58205994,-12.01262916,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.581976865034065,-12.012586389595684]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000027d7_0,15,15,15,15,15,15,15,-40.13173448,-12.45486977,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.13165141310495,-12.454827003967726]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002801_0,15,15,15,15,15,15,15,-40.53678485,-12.28050677,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.53670177471444,-12.280464007320125]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000286f_0,15,15,15,15,15,15,15,-40.32145867,-12.37563836,599589.944358633,7741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.321375601110994,-12.375595595908383]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002aca_0,10,10,10,10,10,10,10,-40.54567817,-11.61539414,336218.045360986,7742,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.54559509602723,-11.615351370958033]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002b8a_0,10,10,10,10,10,10,10,-41.08385885,-11.69489504,336218.045360986,7742,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.08377578274323,-11.69485227360261]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002497_0,4,4,15,15,15,15,15,-40.54001878,-11.72912085,336218.045360986,7742,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.53993570973727,-11.729078085927563]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000023fc_0,18,18,18,18,18,18,18,-40.82622203,-11.44776851,336218.045360986,7742,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.82613895925775,-11.44772573894133]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000245f_0,15,15,15,15,15,15,15,-39.20197817,-11.71079522,336218.045360986,7742,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.20189509404124,-11.710752454131525]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002536_0,15,15,15,15,15,15,15,-39.26827383,-11.66821508,336218.045360986,7742,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.26819076200926,-11.668172309664259]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002447_0,3,3,3,3,3,3,3,-40.8677242,-11.80538782,336218.045360986,7742,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.867641125384075,-11.80534505354931]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002530_0,3,3,3,3,3,3,3,-40.69524766,-11.66578962,336218.045360986,7742,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.69516459083312,-11.665746858397137]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000255f_0,3,3,3,3,3,3,3,-40.49258773,-11.69624251,336218.045360986,7742,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.49250466273576,-11.696199746528789]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002568_0,3,3,3,3,3,3,3,-40.51765073,-11.47471796,336218.045360986,7742,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.517567659162694,-11.474675197464915]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000026ba_0,3,3,15,15,15,15,15,-39.42458069,-12.61090714,599589.944358633,7742,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.42449762144606,-12.610864368819286]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000027fd_0,3,3,3,3,3,3,3,-40.2007251,-12.04254305,599589.944358633,7742,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.20064202692533,-12.042500288556864]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000284e_0,3,3,3,3,3,3,3,-39.67386318,-12.16300713,599589.944358633,7742,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.67378011278923,-12.162964368157292]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000029ab_0,3,3,3,3,3,3,3,-40.55052907,-11.49708601,336218.045360986,7742,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.55044599856147,-11.49704324803949]}"
