,CLASS_2000,CLASS_2010,CLASS_2012,CLASS_2014,CLASS_2016,CLASS_2018,CLASS_2020,LAT,LON,PESO_AMOS,bacia,classification_2000,classification_2010,classification_2012,classification_2014,classification_2016,classification_2018,classification_2020,latitude,longitude,coord_lat,refIBGE_2000,refIBGE_2010,refIBGE_2012,refIBGE_2014,refIBGE_2016,refIBGE_2018,refIBGE_2020
74,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.31292925,-3.740492862,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.74045009578107,-41.31284618019371,-41.31284618019371,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.40428792,-3.556158566,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.556115799479744,-41.40420484458866,-41.40420484458866,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.25364044,-3.894374271,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.894331503950744,-41.25355737144182,-41.25355737144182,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.39404712,-3.483934017,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.4838912506365345,-41.3939640503497,-41.3939640503497,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.29244766,-3.762860913,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.762818146355646,-41.29236459171578,-41.29236459171578,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.13533232,-3.869580769,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.8695380021090453,-41.13524924852328,-41.13524924852328,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.23046391,-3.652098638,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.652055871823709,-41.23038083711153,-41.23038083711153,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.26037781,-3.741301346,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.7412585795367774,-41.260294736072716,-41.26029473607272,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.48648376,-3.432999541,642926.727352927,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.4329567740269575,-41.4864006930856,-41.4864006930856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.49268214,-3.336250985,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.336208217927285,-41.49259906854602,-41.49259906854602,1.0,1.0,1.0,1.0,1.0,1.0,1.0
